ID,Ciudad,Estado,C.P,Dirección
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 13, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 13, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 13, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 13, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, E1, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, E1, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, E1, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, E1, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Av. Adolfo López Mateos S/N, Vaso Regulador “El Cristo”, Tlalnepantla de Baz, Estado de México.",Tlalnepantla de Baz,Estado de México,54090,"Av. Adolfo López Mateos S/N, Vaso Regulador “El Cristo”, Tlalnepantla de Baz, Estado de México."
"Oficinas Centrales - Av. San Bernabé No. 549, Col. San Jerónimo Lídice, Alcaldía la Magdalena Contreras, C.P. 10200, CDMX.",CDMX,CDMX,10200,"Av. San Bernabé No. 549, Col. San Jerónimo Lídice, Alcaldía la Magdalena Contreras, C.P. 10200, CDMX."
"Oficinas Centrales - Calle Balderas No. 94, Col. Centro, Alcaldía Cuauhtémoc, C.P. 06040, CDMX.",CDMX,CDMX,"06040,","Calle Balderas No. 94, Col. Centro, Alcaldía Cuauhtémoc, C.P. 06040, CDMX."
"Oficinas Centrales - Centro de Visitantes del Parque Ecológico Lago de Texcoco – Kilómetro 7.5 de la Autopista Peñón – Texcoco, Estado de México.",Texcoco,Estado de México,56267,"Centro de Visitantes del Parque Ecológico Lago de Texcoco – Kilómetro 7.5 de la Autopista Peñón – Texcoco, Estado de México."
"Oficinas Centrales - Fernando Villalpando No. 110, P.B., Col. Guadalupe Inn, Alc. Álvaro Obregón, C.P. 01020. CDMX.",CDMX,CDMX,"01020,","Fernando Villalpando No. 110, P.B., Col. Guadalupe Inn, Alc. Álvaro Obregón, C.P. 01020. CDMX."
"Coordinación General del Servicio Meteorológico Nacional - Av. Observatorio 192, Col. Observatorio, Alcaldía Miguel Hidalgo, C.P. 11860, CDMX.",CDMX,CDMX,11860,"Av. Observatorio 192, Col. Observatorio, Alcaldía Miguel Hidalgo, C.P. 11860, CDMX."
"Dirección Local Aguascalientes - Av. de la Convención de 1914 Sur No. 402-B, Fraccionamiento Lindavista, C.P. 20270, Aguascalientes, Aguascalientes.",Aguascalientes,Aguascalientes,20270,"Av. de la Convención de 1914 Sur No. 402-B, Fraccionamiento Lindavista, C.P. 20270, Aguascalientes, Aguascalientes."
"Dirección Local Aguascalientes - Calle Guadalupe Delgado de Lira No. 100, Pb, Col. Progreso Norte, C.P. 20674, Pabellón de Arteaga, Aguascalientes.",Pabellón de Arteaga,Aguascalientes,20674,"Calle Guadalupe Delgado de Lira No. 100, Pb, Col. Progreso Norte, C.P. 20674, Pabellón de Arteaga, Aguascalientes."
"Dirección Local Aguascalientes - Calle Tecuexe S/N Esq. Carretera a San Luis Potosí, Pb, Fracc. Solidaridad II C.P. 20263, Aguascalientes, Aguascalientes.",Aguascalientes,Aguascalientes,20263,"Calle Tecuexe S/N Esq. Carretera a San Luis Potosí, Pb, Fracc. Solidaridad II C.P. 20263, Aguascalientes, Aguascalientes."
"Dirección Local Aguascalientes - Carretera Panamericana Km. 523, Pb, Fracc. Pilar Blanco, C.P. 20289, Aguascalientes, Aguascalientes.",Aguascalientes,Aguascalientes,20289,"Carretera Panamericana Km. 523, Pb, Fracc. Pilar Blanco, C.P. 20289, Aguascalientes, Aguascalientes."
"Dirección Local Aguascalientes - Las Arboledas ""La Cortina"" S/N, Entrada a la Cortina de la Presa ""Plutarco Elías Calles"", Pb, C.P. 20500, San José de Gracia, Aguascalientes.",San José de Gracia,Aguascalientes,20500,"Las Arboledas ""La Cortina"" S/N, Entrada a la Cortina de la Presa ""Plutarco Elías Calles"", Pb, C.P. 20500, San José de Gracia, Aguascalientes."
"Dirección Local Baja California Sur - Altos de Cerro Prieto S/No., Colonia 4 de Marzo, C.P. 23472, Cabo San Lucas, Baja California Sur.",Cabo San Lucas,Baja California Sur,23472,"Altos de Cerro Prieto S/No., Colonia 4 de Marzo, C.P. 23472, Cabo San Lucas, Baja California Sur."
"Dirección Local Baja California Sur - Av. Ayuntamiento S/N Col. Centro C.P. 23880, Ciudad Loreto, Baja California Sur.",Loreto,Baja California Sur,23880,"Av. Ayuntamiento S/N Col. Centro C.P. 23880, Ciudad Loreto, Baja California Sur."
"Dirección Local Baja California Sur - Boulevard Colosio E/ Durango y México. Col. Emiliano Zapata, C.P. 23070, La Paz, Baja California Sur.",La Paz,Baja California Sur,23070,"Boulevard Colosio E/ Durango y México. Col. Emiliano Zapata, C.P. 23070, La Paz, Baja California Sur."
"Dirección Local Baja California Sur - Calle Chiapas 2535 Entre Encinas y Legaspy, Col. los Olivos, C.P. 23040, La Paz, Baja California Sur.",La Paz,Baja California Sur,23040,"Calle Chiapas 2535 Entre Encinas y Legaspy, Col. los Olivos, C.P. 23040, La Paz, Baja California Sur."
"Dirección Local Baja California Sur - Carretera a Bahía Tortugas Km. 8.0, Ejido Loma Bonita, C.P. 23935, Localidad Gustavo Díaz Ordaz, Municipio Mulegé, Baja California Sur.",Mulegé,Baja California Sur,23935,"Carretera a Bahía Tortugas Km. 8.0, Ejido Loma Bonita, C.P. 23935, Localidad Gustavo Díaz Ordaz, Municipio Mulegé, Baja California Sur."
"Dirección Local Baja California Sur - Domicilio Conocido S/N, Col. Bella Vista, C.P. 23920, Ciudad Santa Rosalía, Municipio Mulegé, Baja California Sur.",Mulegé,Baja California Sur,23920,"Domicilio Conocido S/N, Col. Bella Vista, C.P. 23920, Ciudad Santa Rosalía, Municipio Mulegé, Baja California Sur."
"Dirección Local Baja California Sur - Km. 208 Carretera Al Sur, Pozos Navojoa Sección 1 C.P. 23739, Ciudad Constitución, Baja California Sur.",Ciudad Constitución,Baja California Sur,23739,"Km. 208 Carretera Al Sur, Pozos Navojoa Sección 1 C.P. 23739, Ciudad Constitución, Baja California Sur."
"Dirección Local Baja California Sur - México Esq. Con Bulevar Colosio Col. Emiliano Zapata, C.P. 23070, La Paz, Baja California Sur.",La Paz,Baja California Sur,23070,"México Esq. Con Bulevar Colosio Col. Emiliano Zapata, C.P. 23070, La Paz, Baja California Sur."
"Dirección Local Baja California Sur - Miguel Hidalgo E/ Boulevard Olachea y Lerdo de Tejada, Col. Centro C.P. 23600, Municipio Comondú, Ciudad Constitución, Baja California Sur.",Ciudad Constitución,Baja California Sur,23600,"Miguel Hidalgo E/ Boulevard Olachea y Lerdo de Tejada, Col. Centro C.P. 23600, Municipio Comondú, Ciudad Constitución, Baja California Sur."
"Dirección Local Campeche - Av. Concordia S/N Interior de la Zona Naval; Col. Carmelo, C.P. 24075, San Francisco de Campeche, Campeche.",San Francisco de Campeche,Campeche,24075,"Av. Concordia S/N Interior de la Zona Naval; Col. Carmelo, C.P. 24075, San Francisco de Campeche, Campeche."
"Dirección Local Campeche - Av. Pedro Sainz de Baranda S/N; Anexo C; Col. Ah-Kim-Pech; C.P. 24014, San Francisco de Campeche, Campeche.",San Francisco de Campeche,Campeche,24014,"Av. Pedro Sainz de Baranda S/N; Anexo C; Col. Ah-Kim-Pech; C.P. 24014, San Francisco de Campeche, Campeche."
"Dirección Local Campeche - Calle Corregidora Con Aldama, Col Banco de Piedra, C.P. 24300, Sabancuy, Ciudad del Carmen, Campeche.",Sabancuy Ciudad del Carmen,Campeche,24300,"Calle Corregidora Con Aldama, Col Banco de Piedra, C.P. 24300, Sabancuy, Ciudad del Carmen, Campeche."
"Dirección Local Campeche - Calle Zapateros Lote No. 6; Corredor Parque Industrial Siglo Si; Col. Multunchac; C.P. 24095, San Francisco de Campeche; Campeche.",San Francisco de Campeche,Campeche,24095,"Calle Zapateros Lote No. 6; Corredor Parque Industrial Siglo Si; Col. Multunchac; C.P. 24095, San Francisco de Campeche; Campeche."
"Dirección Local Chihuahua - Av. del Árbol No. 7, Col. Benito Juárez, C.P. 33800, Hidalgo del Parral, Chihuahua.",Hidalgo del Parral,Chihuahua,33800,"Av. del Árbol No. 7, Col. Benito Juárez, C.P. 33800, Hidalgo del Parral, Chihuahua."
"Dirección Local Chihuahua - Av. Juárez S/N y Calle 27, Col. El Seguro, C.P. 31890, Buenaventura, Chihuahua.",Buenaventura,Chihuahua,31890,"Av. Juárez S/N y Calle 27, Col. El Seguro, C.P. 31890, Buenaventura, Chihuahua."
"Dirección Local Chihuahua - Av. Universidad No. 3300, Col. Magisterial, C.P. 31310 Chihuahua, Chihuahua.",Chihuahua,Chihuahua,31310,"Av. Universidad No. 3300, Col. Magisterial, C.P. 31310 Chihuahua, Chihuahua."
"Dirección Local Chihuahua - Bulevar M. Gómez Morín y Manuel J. Clouthier S/N, Fracc. El Pensamiento, Col. los Virreyes, C.P. 32451, Ciudad Juárez, Chihuahua.",Ciudad Juárez,Chihuahua,32451,"Bulevar M. Gómez Morín y Manuel J. Clouthier S/N, Fracc. El Pensamiento, Col. los Virreyes, C.P. 32451, Ciudad Juárez, Chihuahua."
"Dirección Local Chihuahua - Calle del Refugio S/N, C.P. 31980, Temósachi, Chihuahua.",Temósachi,Chihuahua,31980,"Calle del Refugio S/N, C.P. 31980, Temósachi, Chihuahua."
"Dirección Local Chihuahua - Calle Independencia y Revolución S/N, Col. López Dávila, C.P. 32880, Ciudad Jiménez, Chihuahua.",Jiménez,Chihuahua,32880,"Calle Independencia y Revolución S/N, Col. López Dávila, C.P. 32880, Ciudad Jiménez, Chihuahua."
"Dirección Local Chihuahua - Calle Manuel Gutiérrez Sáenz y Ramírez S/N, Centro, C.P. 31610, Ciudad Guerrero, Chihuahua.",Ciudad Guerrero,Chihuahua,31610,"Calle Manuel Gutiérrez Sáenz y Ramírez S/N, Centro, C.P. 31610, Ciudad Guerrero, Chihuahua."
"Dirección Local Chihuahua - Calle Primera Norte y Av. Sexta No. 600-A, Col. Ciudad Delicias Centro, C.P. 33000, Ciudad Delicias, Chihuahua.",Delicias,Chihuahua,33000,"Calle Primera Norte y Av. Sexta No. 600-A, Col. Ciudad Delicias Centro, C.P. 33000, Ciudad Delicias, Chihuahua."
"Dirección Local Chihuahua - Canal Principal Altavista-Ojo Caliente Km. 000 + 300, C.P. 33601, Ciudad Camargo, Chihuahua.",Camargo,Chihuahua,33601,"Canal Principal Altavista-Ojo Caliente Km. 000 + 300, C.P. 33601, Ciudad Camargo, Chihuahua."
"Dirección Local Chihuahua - Canal Principal Módulo 1, Km. 9 + 450, Col. Cañada Ancha, C.P. 32880, Ciudad Ojinaga, Chihuahua.",Ojinaga,Chihuahua,32880,"Canal Principal Módulo 1, Km. 9 + 450, Col. Cañada Ancha, C.P. 32880, Ciudad Ojinaga, Chihuahua."
"Dirección Local Chihuahua - Carretera Chihuahua-Aldama Vía Corta No. 8901, Ejido Tabaloapa, C.P. 31680, Chihuahua, Chihuahua.",Chihuahua,Chihuahua,31680,"Carretera Chihuahua-Aldama Vía Corta No. 8901, Ejido Tabaloapa, C.P. 31680, Chihuahua, Chihuahua."
"Dirección Local Chihuahua - Carretera Sueco-Nuevo Casas Grandes S/N, Col. Centro, C.P. 31790, Flores Magón, Chihuahua.",Flores Magón,Chihuahua,31790,"Carretera Sueco-Nuevo Casas Grandes S/N, Col. Centro, C.P. 31790, Flores Magón, Chihuahua."
"Dirección Local Chihuahua - Km. 2.5 Carretera a Casas Grandes, Rancho la Riqueña, C.P. 31720, Nuevo Casas Grandes, Chihuahua.",Nuevo Casas Grandes,Chihuahua,31720,"Km. 2.5 Carretera a Casas Grandes, Rancho la Riqueña, C.P. 31720, Nuevo Casas Grandes, Chihuahua."
"Dirección Local Coahuila - Av. Insurgentes No. 407, Col. El Mirador C.P. 26070, Piedras Negras, Coahuila.",Piedras Negras,Coahuila,26070,"Av. Insurgentes No. 407, Col. El Mirador C.P. 26070, Piedras Negras, Coahuila."
"Dirección Local Coahuila - Brasil y Argentina S/N, Col. Guadalupe Ahmsa, C.P. 25750, Monclova, Coahuila.",Monclova,Coahuila,25750,"Brasil y Argentina S/N, Col. Guadalupe Ahmsa, C.P. 25750, Monclova, Coahuila."
"Dirección Local Coahuila - Capitán Leal No. 510, Col. Benito Juárez, C.P. 26215, Acuña, Coahuila.",Ciudad Acuña,Coahuila,26215,"Capitán Leal No. 510, Col. Benito Juárez, C.P. 26215, Acuña, Coahuila."
"Dirección Local Coahuila - Carretera 57 km 7.5, Col. El Sauz Saltillo, C.P. 25294, Coahuila, Coahuila.",Coahuila,Coahuila,25294,"Carretera 57 km 7.5, Col. El Sauz Saltillo, C.P. 25294, Coahuila, Coahuila."
"Dirección Local Coahuila - Carretera Zacatecas Km. 7.5, C.P. 25315, Saltillo Buena Vista, Coahuila.",Saltillo Buena Vista,Coahuila,25315,"Carretera Zacatecas Km. 7.5, C.P. 25315, Saltillo Buena Vista, Coahuila."
"Dirección Local Coahuila - Pablo Valdez Hernández No. 208, Col. Compositores Mexicanos, C.P. 26070, Piedras Negras, Coahuila.",Piedras Negras,Coahuila,26070,"Pablo Valdez Hernández No. 208, Col. Compositores Mexicanos, C.P. 26070, Piedras Negras, Coahuila."
"Dirección Local Colima - Av. Carlos de la Madrid Bejar Sn, Colonia Centro, C.P. 28000, Colima, Colima.",Colima,Colima,28000,"Av. Carlos de la Madrid Bejar Sn, Colonia Centro, C.P. 28000, Colima, Colima."
"Dirección Local Colima - Carretera Colima-Manzanillo a 1.5 Km de la Caseta de Cobro de Cuyutlán, Col. Armería, C.P. 28350, Cuyutlán, Colima.",Tecomán,Colima,28350,"Carretera Colima-Manzanillo a 1.5 Km de la Caseta de Cobro de Cuyutlán, Col. Armería, C.P. 28350, Cuyutlán, Colima."
"Dirección Local Colima - Domicilio Conocido, Presa Basilio Vadillo, Mpio. Ejutla, C.P. 48680, Ejutla, Colima",Ejutla,Colima,48680,"Domicilio Conocido, Presa Basilio Vadillo, Mpio. Ejutla, C.P. 48680, Ejutla, Colima"
"Dirección Local Colima - Domicilio Conocido, Presa Troje, Carretera Colima-Coalcamán km 29, C.P. 49870, Coalcamán, Colima.",Coalcamán,Colima,49870,"Domicilio Conocido, Presa Troje, Carretera Colima-Coalcamán km 29, C.P. 49870, Coalcamán, Colima."
"Dirección Local Colima - Fco. I. Madero S/N Esq. Calle 9, Unidad Habitacional Padre Hidalgo, C.P. 28270, Manzanillo, Colima.",Manzanillo,Colima,28270,"Fco. I. Madero S/N Esq. Calle 9, Unidad Habitacional Padre Hidalgo, C.P. 28270, Manzanillo, Colima."
"Dirección Local Durango - Av. 20 Noviembre No. 114, Col. Nueva Esperanza, C.P. 35600, Tepehuanes, Durango.",Tepehuanes,Durango,35600,"Av. 20 Noviembre No. 114, Col. Nueva Esperanza, C.P. 35600, Tepehuanes, Durango."
"Dirección Local Durango - Av. de Hierro S/N, Col. Ciudad Industrial, C.P. 34210, Durango, Durango.",Durango,Durango,34210,"Av. de Hierro S/N, Col. Ciudad Industrial, C.P. 34210, Durango, Durango."
"Dirección Local Durango - Bulevar. Francisco Villa Km 5.5, Edificio Sagarpa, Col. Ciudad Industrial, C.P. 34210, Durango, Durango.",Durango,Durango,34210,"Bulevar. Francisco Villa Km 5.5, Edificio Sagarpa, Col. Ciudad Industrial, C.P. 34210, Durango, Durango."
"Dirección Local Durango - Edificio Palacio Federal, Av. Cobalto S/N, Col. Ciudad Industrial, C.P. 34208, Durango, Durango.",Durango,Durango,34208,"Edificio Palacio Federal, Av. Cobalto S/N, Col. Ciudad Industrial, C.P. 34208, Durango, Durango."
"Dirección Local Estado de México - Av. Guerrero No. 30, Col. Centro, C.P. 54240, Jilotepec, Estado de México.",Jilotepec,Estado de México,54240,"Av. Guerrero No. 30, Col. Centro, C.P. 54240, Jilotepec, Estado de México."
"Dirección Local Estado de México - Av. Manuel Acuña No. 9, Col. Centro, C.P. 50450, Atlacomulco, Estado de México.",Atlacomulco,Estado de México,50450,"Av. Manuel Acuña No. 9, Col. Centro, C.P. 50450, Atlacomulco, Estado de México."
"Dirección Local Estado de México - Avenida Estado de México No. 2301, Oriente, Col. Llano Grande, C.P. 52148, Metepec, Estado de México.",Metepec,Estado de México,52148,"Avenida Estado de México No. 2301, Oriente, Col. Llano Grande, C.P. 52148, Metepec, Estado de México."
"Dirección Local Estado de México - Campamento El Huérfano S/N, San Francisco Cuatlixca, C.P. 55000, Tecámac, Estado de México.",Tecámac,Estado de México,55000,"Campamento El Huérfano S/N, San Francisco Cuatlixca, C.P. 55000, Tecámac, Estado de México."
"Dirección Local Estado de México - Km. 22.77 Carretera Reyes Apaxco, Barrio de San Miguel, Tequixquiac, Estado de México.",Tequixquiac,Estado de México,55650,"Km. 22.77 Carretera Reyes Apaxco, Barrio de San Miguel, Tequixquiac, Estado de México."
"Dirección Local Estado de México - Paseo Adolfo López Mateos Km. 4.5, Barrio de la Veracruz, Linda Vista, Conjunto Sagarpa, C.P. 51356, San Miguel Zinacantepec, Estado de México.",San Miguel Zinacantepec,Estado de México,51356,"Paseo Adolfo López Mateos Km. 4.5, Barrio de la Veracruz, Linda Vista, Conjunto Sagarpa, C.P. 51356, San Miguel Zinacantepec, Estado de México."
"Dirección Local Guanajuato - Calle Hacienda de Santiago #314, Colonia Primera Fracción de la Hacienda de Crespo, C.P.: 38110, Celaya, Guanajuato.",Celaya,Guanajuato,38110,"Calle Hacienda de Santiago #314, Colonia Primera Fracción de la Hacienda de Crespo, C.P.: 38110, Celaya, Guanajuato."
"Dirección Local Guanajuato - Calle Mina Norte Núm. 308, C.P. 36970, Abasolo, Guanajuato.",Abasolo,Guanajuato,36970,"Calle Mina Norte Núm. 308, C.P. 36970, Abasolo, Guanajuato."
"Dirección Local Guanajuato - Carretera Federal Libre Celaya-Salamanca Km 86+250, Salamanca, Guanajuato.",Salamanca,Guanajuato,SCP,"Carretera Federal Libre Celaya-Salamanca Km 86+250, Salamanca, Guanajuato."
